7.86,6.783,49.99,579,2183,2018
7.18,6.782,47.82,582,4301,2016
7.70,6.780,59.99,584,1839,2012
6.96,6.778,12.99,585,9775,2014
7.20,6.776,35.00,586,4410,2017
7.04,6.774,12.99,587,7050,1630
6.97,6.774,44.99,588,9613,2009
7.12,6.772,39.99,589,4606,2003
7.44,6.771,39.99,590,2528,2018
7.32,6.770,39.99,592,3158,2011
7.20,6.770,44.95,593,3698,2011
7.33,6.767,49.99,595,3020,2017
7.08,6.767,29.99,596,5179,2005
7.21,6.764,43.99,598,3619,2013
7.18,6.763,49.99,600,3815,2011
7.18,6.763,64.99,601,5268,2011
6.97,6.763,59.95,602,13010,2007
7.36,6.762,69.99,603,2733,2014
7.03,6.761,69.99,604,6189,2015
8.01,6.756,99.99,607,1599,2018
6.92,6.754,34.99,608,11091,1800
7.09,6.754,29.95,609,5428,2016
7.27,6.753,39.99,611,3187,2018
7.29,6.751,60.00,612,3035,2017
7.02,6.751,15.00,613,6452,2015
7.54,6.749,59.99,615,2060,2015
7.00,6.749,49.99,616,7193,1999
7.84,6.749,64.99,617,1482,2017
7.11,6.748,13.49,618,4561,2016
7.31,6.747,29.99,619,2813,2014
7.97,6.745,64.95,620,1589,2018
6.89,6.744,39.99,623,10844,2008
7.79,6.743,50.00,624,1577,2010
7.04,6.742,29.99,625,5950,2015
7.31,6.740,29.99,626,2970,2011
6.97,6.737,34.99,628,7654,2015
7.01,6.736,32.99,629,6150,2003
7.46,6.736,99.99,630,2655,2016
6.89,6.736,39.99,631,11912,2013
6.99,6.734,59.99,632,7444,1991
6.82,6.732,17.99,635,34982,2010
7.91,6.725,49.99,642,1348,2018
7.34,6.725,19.99,643,2737,2015
7.20,6.722,79.95,644,3306,2012
7.53,6.718,59.99,645,1962,2014
7.45,6.716,39.95,647,2225,1996
7.12,6.716,37.08,648,3860,2016
6.99,6.715,54.99,649,5542,2008
7.36,6.714,19.99,651,2550,2014
6.83,6.714,25.99,653,14567,2005
7.61,6.713,99.99,654,2024,2015
7.40,6.713,49.99,655,2195,2016
7.73,6.711,60.00,656,1547,2001
6.85,6.710,44.99,657,12913,2007
7.16,6.710,24.99,658,3647,2017
7.13,6.709,59.95,659,3835,2012
7.23,6.706,99.95,662,3622,2007
7.09,6.705,49.95,663,4293,2012
6.97,6.705,13.99,664,6275,2011
7.03,6.703,46.59,665,5676,1850
7.42,6.703,49.95,666,2449,2017
6.95,6.702,14.99,667,6516,2010
8.00,6.701,99.99,668,1350,2014
6.98,6.700,64.99,669,7768,2010
7.32,6.696,51.99,671,2618,2010
7.39,6.694,42.99,673,2506,2014
6.84,6.694,39.99,674,10780,1980
7.27,6.694,59.95,675,2636,2015
7.40,6.692,49.99,676,2674,2017
7.41,6.691,39.44,677,2042,2003
7.01,6.690,44.99,678,5039,2005
7.27,6.685,42.99,680,2674,2009
7.10,6.679,19.99,683,3543,2014
7.56,6.678,54.97,684,1843,2017
